"Column1","Site","Period","BoneID","IsotopeSampleNumber","Species","Side","dP2","dP3","dP4","P2","P3","P4","M1","M2","M3","Zeder_Group","Payne.Group"
264,"Smilčić","EN","SMI.D.M6.58.433","","OA","L",10,14,19,NA,NA,NA,11,NA,NA,"II","B"
278,"Smilčić","EN","SMI.D.M6.58A.447","","CA","L",17,17,17,NA,NA,NA,9,NA,NA,"III","C"
279,"Smilčić","EN","SMI.D.M6.58A.448","","CA","L",10,16,17,NA,NA,NA,14,NA,NA,"III","C"
280,"Smilčić","EN","SMI.D.M6.58A.449","","OC","R",NA,NA,NA,NA,NA,NA,1,4,NA,"III","C"
288,"Smilčić","EN","SMI.D.M6.JAMA_17.457","","OA","L",NA,17,18,NA,NA,NA,16,NA,NA,"IV","D"
289,"Smilčić","EN","SMI.D.M6.JAMA_17.458","","OC","L",NA,NA,20,NA,NA,NA,13,10,NA,"IV","D"
290,"Smilčić","EN","SMI.D.M6.JAMA_17.459","","OC","L",NA,20,21,NA,NA,NA,NA,NA,NA,"IV","D"
291,"Smilčić","EN","SMI.D.M6.JAMA_17.460","","OC","R",NA,NA,NA,NA,NA,NA,17,10,NA,"IV","D"
292,"Smilčić","EN","SMI.D.M6.JAMA_17.461","","OC","R",NA,NA,NA,NA,NA,NA,14,4,NA,"IV","D"
293,"Smilčić","EN","SMI.D.M6.JAMA_17.462","","OC","R",NA,20,12,NA,NA,NA,3,NA,NA,"II","B"
294,"Smilčić","EN","SMI.D.M6.JAMA_17.463","","OA","L",14,16,18,NA,NA,NA,NA,NA,NA,"II","B"
250,"Smilčić","MN","SMI.D.M7.56.419","","OC","R",NA,10,13,NA,NA,NA,NA,NA,NA,"I","A"
251,"Smilčić","MN","SMI.D.M7.56.420","","OC","R",NA,14,19,NA,NA,NA,11,NA,NA,"IV","D"
252,"Smilčić","MN","SMI.D.M7.56.421","SMI421","OC","L",NA,NA,NA,NA,NA,NA,17,16,10,"V","D"
277,"Smilčić","MN","SMI.D.M7.56/1.446","","OA","R",NA,NA,NA,NA,NA,26,25,20,18,"X","H"
275,"Smilčić","MN","SMI.D.M7.56A.444","","OC","L",NA,NA,NA,1,1,20,NA,NA,NA,"VIII, IX","G"
276,"Smilčić","MN","SMI.D.M7.56A.445","","OA","R",NA,NA,NA,NA,8,9,17,NA,NA,"V","D"
272,"Smilčić","MN","SMI.D.M8.56.441","","OC","L",1,17,17,NA,NA,NA,NA,NA,NA,"II","B"
274,"Smilčić","EN","SMI.D.N5.50.443","","OA","R",NA,NA,NA,NA,NA,17,19,17,17,"VIII","G"
281,"Smilčić","EN","SMI.D.N6.52.450","","OC","L",NA,NA,NA,NA,NA,NA,17,13,NA,"V","D"
282,"Smilčić","EN","SMI.D.N6.52.451","","OA","L",19,20,19,NA,NA,NA,NA,NA,NA,"III","C"
283,"Smilčić","EN","SMI.D.N6.52.452","","OA","L",NA,NA,NA,NA,6,7,17,14,15,"VI","E"
284,"Smilčić","EN","SMI.D.N6.52.453","","OA","L",NA,NA,NA,7,16,17,17,17,NA,"VI","E"
285,"Smilčić","EN","SMI.D.N6.52.454","SMI454","OC","L",NA,NA,26,NA,NA,NA,17,17,NA,"V","D"
286,"Smilčić","EN","SMI.D.N6.52.455","SMI455","OA","R",NA,NA,NA,NA,NA,17,18,17,NA,"VII","F"
287,"Smilčić","EN","SMI.D.N6.52.456","SMI456","OA","R",NA,NA,NA,5,7,9,17,14,NA,"V","D"
265,"Smilčić","MN","SMI.D.N7.56.434","","OA","R",NA,NA,NA,NA,NA,20,22,NA,17,"IX","G"
266,"Smilčić","MN","SMI.D.N7.56.435","SMI435","OA","R",NA,NA,NA,NA,NA,14,17,13,NA,"V","D"
267,"Smilčić","MN","SMI.D.N7.56.436","","OC","R",12,14,18,NA,NA,NA,7,NA,NA,"II","B"
268,"Smilčić","MN","SMI.D.N7.56.437","","OC","L",NA,17,20,NA,NA,NA,NA,NA,NA,"IV","D"
269,"Smilčić","MN","SMI.D.N7.56.438","","OA","L",NA,NA,NA,NA,NA,20,17,17,12,"VII","F"
270,"Smilčić","MN","SMI.D.N7.56A.439","","OC","R",NA,16,19,NA,NA,NA,16,NA,NA,"IV","D"
271,"Smilčić","MN","SMI.D.N7.56A.440","","OC","L",NA,NA,19,NA,NA,NA,14,4,NA,"III","C"
194,"Zemunik Donji","MN","ZD.KV10.sj42..299","","OC","R",NA,NA,NA,NA,NA,9,NA,NA,NA,"V","D"
1,"Zemunik Donji","MN","ZD.KV10.sj43A..14","ZD10","CA","L",NA,NA,NA,NA,NA,NA,NA,11,NA,"III, IV","C, D"
28,"Zemunik Donji","MN","ZD.KV10.sj43A..16","ZD16","OC","R",NA,NA,NA,NA,NA,NA,NA,16,NA,"V, VI","D, E"
195,"Zemunik Donji","MN","ZD.KV10.sj43A..300","","OC","R",NA,NA,NA,NA,NA,11,NA,NA,NA,"V","D"
196,"Zemunik Donji","MN","ZD.KV10.sj43A..301","","OC","R",NA,NA,17,NA,NA,NA,9,NA,NA,"II","B"
186,"Zemunik Donji","MN","ZD.KV9.sj43A..291","","OA","R",NA,25,16,NA,NA,NA,4,NA,NA,"II","B"
187,"Zemunik Donji","MN","ZD.KV9.sj43A..292","","CA","L",NA,25,17,NA,NA,NA,NA,NA,NA,"III","C"
188,"Zemunik Donji","MN","ZD.KV9.sj43A..293","","CA","R",NA,NA,NA,NA,NA,NA,NA,NA,12,"VII","F"
189,"Zemunik Donji","MN","ZD.KV9.sj43A..294","","OC","L",NA,NA,18,NA,NA,NA,13,3,NA,"IV","D"
190,"Zemunik Donji","MN","ZD.KV9.sj43A..295","","OC","R",NA,NA,12,NA,NA,NA,10,NA,NA,"II","B"
191,"Zemunik Donji","MN","ZD.KV9.sj43A..296","","OA","R",NA,20,19,NA,NA,NA,14,NA,NA,"IV","D"
192,"Zemunik Donji","MN","ZD.KV9.sj43A..297","ZD297","OC","L",NA,NA,NA,NA,NA,NA,NA,16,NA,"V, VI","D, E"
193,"Zemunik Donji","MN","ZD.KV9.sj43A..298","ZD298","CA","L",NA,NA,NA,NA,NA,17,17,17,NA,"VI","E"
10,"Zemunik Donji","MN","ZD.KV9.sj43A..48","ZD11","OA","L",NA,NA,NA,NA,NA,19,17,16,NA,"VII","F"
11,"Zemunik Donji","MN","ZD.KV9.sj43A..49","","OA","L",NA,NA,NA,NA,NA,16,22,17,NA,"IX","G"
12,"Zemunik Donji","MN","ZD.KV9.sj43A..50","","CA","L",NA,NA,1,NA,NA,NA,17,11,NA,"V","D"
13,"Zemunik Donji","MN","ZD.KV9.sj43A..51","","OA","L",NA,NA,NA,NA,NA,20,17,17,NA,"VII","F"
197,"Zemunik Donji","MN","ZD.KV9/8.sj47..302","","OC","R",NA,NA,NA,4,NA,NA,NA,NA,NA,"II, III, IV","B, C, D"
198,"Zemunik Donji","MN","ZD.KV9/8.sj47..303","","OA","R",NA,NA,NA,NA,NA,20,18,NA,NA,"VII","F"
199,"Zemunik Donji","MN","ZD.KV9/8.sj47..304","","CA","L",1,20,19,NA,NA,NA,7,NA,NA,"III","C"
200,"Zemunik Donji","MN","ZD.KV9/8.sj47..305","","OA","L",NA,25,24,NA,NA,NA,17,NA,NA,"IV","D"
201,"Zemunik Donji","MN","ZD.KV9/8.sj47..306","","OC","R",NA,NA,NA,NA,5,10,NA,NA,NA,"V","D"
202,"Zemunik Donji","MN","ZD.KV9/8.sj47..307","","OA","L",NA,20,20,NA,NA,NA,13,3,NA,"III","C"
203,"Zemunik Donji","MN","ZD.KV9/8.sj47..308","","CA","R",NA,NA,NA,NA,NA,16,17,NA,NA,"V","D"
204,"Zemunik Donji","MN","ZD.KV9/8.sj47..309","","OC","L",NA,NA,NA,4,NA,NA,NA,NA,NA,"II, III, IV","B, C, D"
205,"Zemunik Donji","MN","ZD.KV9/8.sj47..310","","CA","L",16,14,19,NA,NA,NA,13,NA,NA,"IV","D"
206,"Zemunik Donji","MN","ZD.KV9/8.sj47..311","","OA","L",NA,NA,NA,NA,NA,20,18,NA,NA,"VII","F"
207,"Zemunik Donji","MN","ZD.KV9/8.sj47..312","","OC","R",17,1,19,NA,NA,NA,NA,NA,NA,"IV","D"
208,"Zemunik Donji","MN","ZD.KV9/8.sj47..313","","OC","R",NA,NA,NA,NA,NA,9,NA,NA,NA,"V","D"
209,"Zemunik Donji","MN","ZD.KV9/8.sj47..314","","OA","R",NA,17,14,NA,NA,NA,NA,NA,NA,"II","B"
210,"Zemunik Donji","MN","ZD.KV9/8.sj47..315","","CA","L",NA,NA,16,NA,NA,NA,4,NA,NA,"II","B"
26,"Zemunik Donji","MN","ZD.KV9/8.sj47..64","ZD13","OA","R",NA,NA,NA,NA,NA,NA,NA,10,10,"V","D"
27,"Zemunik Donji","MN","ZD.KV9/8.sj47..65","ZD14","OA","R",NA,NA,NA,NA,NA,20,18,17,NA,"VII","F"
