"Column1","Site","Period","BoneID","IsotopeSampleNumber","Species","Side","dP2","dP3","dP4","P2","P3","P4","M1","M2","M3","Zeder_Group","Payne.Group"
83,"Benkovac-Barice","MN","BB.B3..SJ6.152","","OA","L",NA,NA,20,NA,NA,NA,18,NA,NA,"IV","D"
86,"Benkovac-Barice","MN","BB.C1..SJ13.155","","OC","R",NA,NA,NA,NA,NA,NA,16,9,NA,"IV","D"
87,"Benkovac-Barice","MN","BB.C1..SJ13.156","","OC","R",NA,NA,19,NA,NA,NA,NA,NA,NA,"III, IV","C, D"
88,"Benkovac-Barice","MN","BB.C1..SJ13.157","","CA","L",NA,NA,NA,3,7,10,NA,NA,NA,"V","D"
89,"Benkovac-Barice","MN","BB.C1..SJ13.158","","CA","R",NA,NA,NA,NA,NA,NA,17,17,7,"IV","D"
90,"Benkovac-Barice","MN","BB.C1..SJ13.159","","OC","R",NA,NA,NA,NA,NA,1,17,13,NA,"V","D"
81,"Benkovac-Barice","MN","BB.C1..SJ2.150","","OC","L",NA,NA,NA,NA,NA,NA,17,17,NA,"VI, VII","E, F"
119,"Benkovac-Barice","MN","BB.C1..SJ49.189","","OC","R",NA,NA,NA,NA,NA,NA,NA,19,17,"X","H"
123,"Benkovac-Barice","MN","BB.C1..SJ49.193","","OC","L",NA,NA,1,NA,1,NA,NA,14,NA,"V","D"
124,"Benkovac-Barice","MN","BB.C1..SJ49.194","","OA","R",NA,NA,NA,NA,NA,20,22,17,NA,"IX","G"
125,"Benkovac-Barice","MN","BB.C1..SJ49.195","","OC","R",NA,NA,20,NA,NA,NA,14,NA,NA,"IV","D"
105,"Benkovac-Barice","MN","BB.C1..SJ51.175","","OC","L",NA,1,17,1,NA,NA,1,NA,NA,"II, III, IV","B, C, D"
106,"Benkovac-Barice","MN","BB.C1..SJ51.176","","OC","R",NA,NA,19,NA,NA,NA,14,10,NA,"IV","D"
135,"Benkovac-Barice","MN","BB.C1.PODNICA_2A.SJ35.205","","OC","R",NA,NA,NA,NA,NA,NA,17,17,16,"VI","E"
133,"Benkovac-Barice","MN","BB.C1.ZEMLJA_POD_2A_3A.SJ49.203","","OA","R",NA,NA,NA,NA,NA,20,NA,NA,NA,"VII, VIII, IX","G"
134,"Benkovac-Barice","MN","BB.C1.ZEMLJA_POD_2A_3A.SJ49.204","","OC","R",NA,NA,NA,NA,NA,NA,NA,17,10,"VI","E"
71,"Benkovac-Barice","MN","BB.C2..SJ13.140","","OA","L",NA,NA,NA,NA,NA,20,NA,NA,NA,"VII, VIII, IX","G"
102,"Benkovac-Barice","MN","BB.C2..SJ26.172","","OC","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
103,"Benkovac-Barice","MN","BB.C2..SJ26.173","","OA","L",NA,NA,NA,NA,NA,20,NA,NA,NA,"VII, VIII, IX","G"
104,"Benkovac-Barice","MN","BB.C2..SJ26.174","","OC","R",NA,17,NA,NA,NA,NA,NA,4,NA,"II","B"
107,"Benkovac-Barice","MN","BB.C2..SJ49.177","","OC","L",NA,NA,NA,NA,NA,NA,20,17,17,"VIII","G"
108,"Benkovac-Barice","MN","BB.C2..SJ49.178","","OC","L",NA,NA,20,NA,NA,NA,16,NA,NA,"IV","D"
109,"Benkovac-Barice","MN","BB.C2..SJ49.179","","OA","L",16,18,19,NA,NA,NA,NA,NA,NA,"III","C"
110,"Benkovac-Barice","MN","BB.C2..SJ49.180","BB180","OC","L",NA,NA,NA,NA,NA,NA,17,17,NA,"VI, VII","E, F"
126,"Benkovac-Barice","MN","BB.C2..SJ6.196","","OC","L",NA,NA,NA,NA,NA,NA,17,11,NA,"IV","D"
127,"Benkovac-Barice","MN","BB.C2..SJ6.197","","OC","L",NA,NA,NA,NA,NA,NA,NA,16,1,"V, VI","D, E"
128,"Benkovac-Barice","MN","BB.C2..SJ6.198","","OA","R",NA,20,17,NA,NA,NA,14,NA,NA,"IV","D"
129,"Benkovac-Barice","MN","BB.C2..SJ6.199","","OA","R",NA,NA,NA,NA,NA,20,NA,NA,NA,"VII, VIII, IX","G"
130,"Benkovac-Barice","MN","BB.C2..SJ6.200","","OC","R",NA,20,19,NA,NA,NA,NA,NA,NA,"IV","D"
131,"Benkovac-Barice","MN","BB.C2..SJ6.201","","CA","L",NA,NA,NA,NA,NA,20,22,17,16,"IX","G"
72,"Benkovac-Barice","MN","BB.C3..SJ2.141","","CA","L",NA,NA,NA,NA,NA,20,NA,NA,NA,"VII, VIII, IX","F, G, H"
132,"Benkovac-Barice","MN","BB.IZBACENA_ZEMLJA..SJ6.202","","OC","R",NA,NA,NA,NA,NA,NA,NA,17,16,"VI","E"
184,"Crno Vrilo","EN","CV.A.Ia.2.289","","OA","L",NA,NA,NA,NA,NA,20,19,17,NA,"VIII","G"
23,"Crno Vrilo","EN","CV.A.IIa.zdravica.61","","OA","R",NA,NA,NA,1,NA,20,25,17,NA,"IX","G"
24,"Crno Vrilo","EN","CV.A.IIa.zdravica.62","CV28","OA","R",NA,NA,NA,NA,1,16,17,17,NA,"VII","F"
25,"Crno Vrilo","EN","CV.A.IIa.zdravica.63","","CA","R",NA,NA,NA,NA,NA,20,17,16,NA,"VII","F"
14,"Crno Vrilo","EN","CV.A.IIIb.2.52","CV21","CA","L",NA,NA,NA,NA,NA,20,19,16,NA,"VIII","G"
15,"Crno Vrilo","EN","CV.A.IIIb.2.53","CV22","OA","R",NA,NA,NA,NA,NA,25,26,18,17,"X","H"
16,"Crno Vrilo","EN","CV.A.IIIb.2.54","CV23","OA","R",NA,NA,NA,NA,NA,20,NA,16,NA,"VII","F"
17,"Crno Vrilo","EN","CV.A.IIIb.2.55","CV24","OA","R",NA,NA,NA,NA,NA,20,20,17,17,"VIII","G"
179,"Crno Vrilo","EN","CV.C.I.1.284","","CA","L",NA,NA,NA,NA,NA,16,17,17,11,"VII","F"
180,"Crno Vrilo","EN","CV.C.I.1.285","","CA","R",NA,NA,NA,NA,NA,19,17,17,NA,"VII","F"
