"Site","Period","BoneID","IsotopeSampleNumber","Species","Side","Zeder_Group","Payne.Group","Genus"
"68","Benkovac-Barice","MN","BB.C2..SJ49.179","","OA","L","III","C","OC"
"69","Benkovac-Barice","MN","BB.C2..SJ49.180","BB180","OC","L","VI, VII","E, F","OC"
"70","Benkovac-Barice","MN","BB.C2..SJ6.196","","OC","L","IV","D","OC"
"71","Benkovac-Barice","MN","BB.C2..SJ6.197","","OC","L","V, VI","D, E","OC"
"72","Benkovac-Barice","MN","BB.C2..SJ6.198","","OA","R","IV","D","OC"
"73","Benkovac-Barice","MN","BB.C2..SJ6.199","","OA","R","VII, VIII, IX","G","OC"
"74","Benkovac-Barice","MN","BB.C2..SJ6.200","","OC","R","IV","D","OC"
"75","Benkovac-Barice","MN","BB.C2..SJ6.201","","CA","L","IX","G","OC"
"76","Benkovac-Barice","MN","BB.C3..SJ2.141","","CA","L","VII, VIII, IX","F, G, H","OC"
"77","Benkovac-Barice","MN","BB.IZBACENA_ZEMLJA..SJ6.202","","OC","R","VI","E","OC"
"78","Islam Grčki","MN","IG.A.mix..236","","OC","L","I","A","OC"
"79","Islam Grčki","MN","IG.A.SJ15.NW.235","","CA","R","III","C","OC"
"80","Islam Grčki","MN","IG.A.SJ16B..224","","CA","R","V","D","OC"
"81","Islam Grčki","MN","IG.A.SJ25.SWX.240","","OC","L","I","A","OC"
"82","Islam Grčki","MN","IG.A.SJ25.SWX.241","","OC","R","III, IV","C, D","OC"
"83","Islam Grčki","MN","IG.A.SJ25.SWX.242","","OC","R","","","OC"
"84","Islam Grčki","MN","IG.A.SJ25.SWX.243","","OA","L","I","A","OC"
"85","Islam Grčki","MN","IG.A.SJ25.SWX.244","","OA","L","XI","I","OC"
"86","Islam Grčki","MN","IG.A.SJ25.SWX.245","","OA","R","IV","D","OC"
"87","Islam Grčki","MN","IG.A.SJ25_SWX.1.239","IG239","OA","L","VII","F","OC"
"88","Islam Grčki","MN","IG.A.SJ27..237","","OA","R","IX","G","OC"
"89","Islam Grčki","MN","IG.A.SJ27..238","","OC","R","IV","D","OC"
"90","Islam Grčki","MN","IG.A.SJ29..246","","OA","R","X","H","OC"
"91","Islam Grčki","MN","IG.A.SJ3..230","","OC","R","VI","E","OC"
"92","Islam Grčki","MN","IG.A.SJ3..231","","OC","R","","","OC"
"93","Islam Grčki","MN","IG.A.SJ3..232","","CA","L","IV","D","OC"
"94","Islam Grčki","MN","IG.A.SJ32..228","","OC","R","V, VI","D, E","OC"
"95","Islam Grčki","MN","IG.A.SJ32..229","","OC","R","","","OC"
"96","Islam Grčki","MN","IG.A.SJ36.2.225","","OA","L","","","OC"
"97","Islam Grčki","MN","IG.A.SJ4..211","IG211","CA","L","IV","D","OC"
"98","Islam Grčki","MN","IG.A.SJ4..227","","OA","R","VIII","G","OC"
"99","Islam Grčki","MN","IG.A.SJ4..233","IG233","OA","R","VII","F","OC"
"100","Islam Grčki","MN","IG.A.SJ4.2.226","IG226","OA","R","V","D","OC"
"101","Islam Grčki","MN","IG.A.SJ4.2.234","","CA","R","III","C","OC"
"102","Islam Grčki","MN","IG.A.SJ4.5/6.210","","CA","R","III","C","OC"
"103","Islam Grčki","MN","IG.A.SJ44.1.213","","OA","R","III","C","OC"
"104","Islam Grčki","MN","IG.A.SJ44.1.214","","OA","R","XI","I","OC"
"105","Islam Grčki","MN","IG.A.SJ45..222","","OA","L","I","A","OC"
"106","Islam Grčki","MN","IG.A.SJ45..223","","CA","R","I","A","OC"
"107","Islam Grčki","MN","IG.A.SJ47..212","IG212","CA","L","V","D","OC"
"108","Islam Grčki","MN","IG.A.SJ47..215","","OC","L","IX","G","OC"
"109","Islam Grčki","MN","IG.A.SJ47..216","","OC","R","","","OC"
"110","Islam Grčki","MN","IG.A.SJ47..217","","OA","L","IV, V","D","OC"
"111","Islam Grčki","MN","IG.A.SJ47..218","","OA","R","I","A","OC"
"112","Islam Grčki","MN","IG.A.SJ47..219","IG219","OA","L","VI","E","OC"
"113","Islam Grčki","MN","IG.A.SJ47..220","","OC","L","IV, V","D, E","OC"
"114","Islam Grčki","MN","IG.A.SJ47..221","","OC","R","IX","G","OC"
"115","Smilčić","MN","SMI.15...113","","CA","R","VIII","G","OC"
"116","Smilčić","MN","SMI.15...114","","CA","R","V","D","OC"
"117","Smilčić","MN","SMI.15...115","","OA","R","V, VI","D, E","OC"
"118","Smilčić","MN","SMI.15...116","","CA","R","V","D","OC"
"119","Smilčić","MN","SMI.15...117","","CA","R","V","D","OC"
"120","Smilčić","MN","SMI.15...118","","OA","R","VII","F","OC"
"121","Smilčić","MN","SMI.15...119","","CA","R","V","D","OC"
"122","Smilčić","MN","SMI.15...120","","OA","R","IX","G","OC"
"123","Smilčić","MN","SMI.15...121","","CA","R","VI","E","OC"
"124","Smilčić","MN","SMI.15...122","","OC","L","VII, VIII","F, G","OC"
"125","Smilčić","MN","SMI.15...123","","CA","L","IV","D","OC"
"126","Smilčić","MN","SMI.15...124","","OC","L","II","B","OC"
"127","Smilčić","MN","SMI.15...125","","CA","L","","","OC"
"128","Smilčić","MN","SMI.15...126","","OA","L","X","H","OC"
"129","Smilčić","MN","SMI.15...127","","OC","L","IV","D","OC"
"130","Smilčić","MN","SMI.15...128","","OC","L","VI, VII, VIII","E, F, G","OC"
"131","Smilčić","MN","SMI.15...129","","OC","L","II, III, IV","B, C, D","OC"
"132","Smilčić","MN","SMI.15...130","SMI130","OC","L","IV","D","OC"
"133","Smilčić","MN","SMI.15...131","","CA","L","IX","G","OC"
"134","Smilčić","MN","SMI.15...132","","OA","L","IX","G","OC"
"135","Smilčić","EN","SMI.B.M1.21.333","","CA","L","V","D","OC"
"136","Smilčić","EN","SMI.B.M1.21.334","","CA","L","X","H","OC"
"137","Smilčić","EN","SMI.B.N2.22.338","SMI338","OA","L","VII","F","OC"
"138","Smilčić","EN","SMI.B.N2/M2.22.335","SMI335","OA","L","VII","F","OC"
"139","Smilčić","MN","SMI.C..41.349","","CA","R","IV","D","OC"
"140","Smilčić","MN","SMI.C.O10.41.364","","OA","L","IV","D","OC"
"141","Smilčić","MN","SMI.C.O10.41.365","","OC","R","III","C","OC"
"142","Smilčić","MN","SMI.C.O10.41.366","","OC","R","IV","D","OC"
"143","Smilčić","MN","SMI.C.O10.41B.358","","OC","L","VII, VIII, IX, X, XI","F, G, H, I","OC"
"144","Smilčić","MN","SMI.C.O10.41B.359","","OA","L","III","C","OC"
"145","Smilčić","MN","SMI.C.P10.41.360","SMI360","OA","R","VII","F","OC"
"146","Smilčić","MN","SMI.C.P10.41.361","","OA","R","X","H","OC"
"147","Smilčić","MN","SMI.C.P10.41.362","","OC","R","IV","D","OC"
"148","Smilčić","MN","SMI.C.P10.41.363","","OC","R","IV","D","OC"
"149","Smilčić","MN","SMI.C.P9.41.355","","OC","R","VI, VII, VIII","E, F, G","OC"
"150","Smilčić","MN","SMI.C.P9.41.356","","OC","L","IV","D","OC"
"151","Smilčić","MN","SMI.C.P9.41.357","","OA","L","VII","F","OC"
"152","Smilčić","MN","SMI.C.P9.41A.351","","CA","L","V","D","OC"
"153","Smilčić","MN","SMI.C.P9.41A.352","","OA","R","II","B","OC"
"154","Smilčić","MN","SMI.C.P9.41A.353","","OC","L","IV","D","OC"
"155","Smilčić","MN","SMI.C.P9.41A.354","","CA","R","V","D","OC"
"156","Smilčić","EN","SMI.D..JAMA_17.403","SMI403","OA","L","VIII","G","OC"
"157","Smilčić","EN","SMI.D..JAMA_17.404","","OC","L","II","B","OC"
"158","Smilčić","MN","SMI.D.L6.56.405","","OA","L","VIII","G","OC"
"159","Smilčić","MN","SMI.D.L6.56.406","","OC","R","XI","I","OC"
"160","Smilčić","MN","SMI.D.L6.56.407","","OC","R","X","H","OC"
"161","Smilčić","MN","SMI.D.L6.56.408","","OA","R","IV","D","OC"
"162","Smilčić","MN","SMI.D.L6.56.409","","OC","R","III, IV","C, D","OC"
"163","Smilčić","MN","SMI.D.L7.56.410","","OA","L","IX","G","OC"
"164","Smilčić","MN","SMI.D.L7.56.411","","OC","R","VIII","G","OC"
"165","Smilčić","EN","SMI.D.M5.54.412","","OC","L","II","B","OC"
"166","Smilčić","EN","SMI.D.M5.54.413","","OC","L","III","C","OC"
"167","Smilčić","EN","SMI.D.M5.54.414","","OC","R","V, VI","D, E","OC"
"168","Smilčić","EN","SMI.D.M5.54.415","","OC","R","II","B","OC"
"169","Smilčić","EN","SMI.D.M5.54.416","","OA","R","II","B","OC"
"170","Smilčić","EN","SMI.D.M5.54.417","","CA","R","III","C","OC"
"171","Smilčić","EN","SMI.D.M5.54.418","","OC","L","IV","D","OC"
"172","Smilčić","EN","SMI.D.M5/6.58.442","","OA","R","II","B","OC"
"173","Smilčić","EN","SMI.D.M6.58.422","","OC","R","III","C","OC"
"174","Smilčić","EN","SMI.D.M6.58.423","","OC","R","IV","D","OC"
"175","Smilčić","EN","SMI.D.M6.58.424","","OC","R","II","B","OC"
"176","Smilčić","EN","SMI.D.M6.58.425","","OA","L","V","D","OC"
"177","Smilčić","EN","SMI.D.M6.58.426","","OA","L","II","B","OC"
"178","Smilčić","EN","SMI.D.M6.58.427","","OC","L","IV","D","OC"
"179","Smilčić","EN","SMI.D.M6.58.428","","OC","L","II","B","OC"
"180","Smilčić","EN","SMI.D.M6.58.429","","OC","L","IV","D","OC"
"181","Smilčić","EN","SMI.D.M6.58.430","","OC","L","IV","D","OC"
"182","Smilčić","EN","SMI.D.M6.58.431","","OC","L","II","B","OC"
"183","Smilčić","EN","SMI.D.M6.58.432","","OC","L","IV","D","OC"
"184","Smilčić","EN","SMI.D.M6.58.433","","OA","L","II","B","OC"
"185","Smilčić","EN","SMI.D.M6.58A.447","","CA","L","III","C","OC"
"186","Smilčić","EN","SMI.D.M6.58A.448","","CA","L","III","C","OC"
"187","Smilčić","EN","SMI.D.M6.58A.449","","OC","R","III","C","OC"
"188","Smilčić","EN","SMI.D.M6.JAMA_17.457","","OA","L","IV","D","OC"
"189","Smilčić","EN","SMI.D.M6.JAMA_17.458","","OC","L","IV","D","OC"
"190","Smilčić","EN","SMI.D.M6.JAMA_17.459","","OC","L","IV","D","OC"
"191","Smilčić","EN","SMI.D.M6.JAMA_17.460","","OC","R","IV","D","OC"
"192","Smilčić","EN","SMI.D.M6.JAMA_17.461","","OC","R","IV","D","OC"
"193","Smilčić","EN","SMI.D.M6.JAMA_17.462","","OC","R","II","B","OC"
"194","Smilčić","EN","SMI.D.M6.JAMA_17.463","","OA","L","II","B","OC"
"195","Smilčić","MN","SMI.D.M7.56.419","","OC","R","I","A","OC"
"196","Smilčić","MN","SMI.D.M7.56.420","","OC","R","IV","D","OC"
"197","Smilčić","MN","SMI.D.M7.56.421","SMI421","OC","L","V","D","OC"
"198","Smilčić","MN","SMI.D.M7.56/1.446","","OA","R","X","H","OC"
"199","Smilčić","MN","SMI.D.M7.56A.444","","OC","L","VIII, IX","G","OC"
"200","Smilčić","MN","SMI.D.M7.56A.445","","OA","R","V","D","OC"
"201","Smilčić","MN","SMI.D.M8.56.441","","OC","L","II","B","OC"
"202","Smilčić","EN","SMI.D.N5.50.443","","OA","R","VIII","G","OC"
"203","Smilčić","EN","SMI.D.N6.52.450","","OC","L","V","D","OC"
"204","Smilčić","EN","SMI.D.N6.52.451","","OA","L","III","C","OC"
"205","Smilčić","EN","SMI.D.N6.52.452","","OA","L","VI","E","OC"
"206","Smilčić","EN","SMI.D.N6.52.453","","OA","L","VI","E","OC"
"207","Smilčić","EN","SMI.D.N6.52.454","SMI454","OC","L","V","D","OC"
"208","Smilčić","EN","SMI.D.N6.52.455","SMI455","OA","R","VII","F","OC"
"209","Smilčić","EN","SMI.D.N6.52.456","SMI456","OA","R","V","D","OC"
"210","Smilčić","MN","SMI.D.N7.56.434","","OA","R","IX","G","OC"
"211","Smilčić","MN","SMI.D.N7.56.435","SMI435","OA","R","V","D","OC"
"212","Smilčić","MN","SMI.D.N7.56.436","","OC","R","II","B","OC"
"213","Smilčić","MN","SMI.D.N7.56.437","","OC","L","IV","D","OC"
"214","Smilčić","MN","SMI.D.N7.56.438","","OA","L","VII","F","OC"
"215","Smilčić","MN","SMI.D.N7.56A.439","","OC","R","IV","D","OC"
"216","Smilčić","MN","SMI.D.N7.56A.440","","OC","L","III","C","OC"
"217","Zemunik Donji","MN","ZD.KV10.sj42..299","","OC","R","V","D","OC"
"218","Zemunik Donji","MN","ZD.KV10.sj43A..14","ZD10","CA","L","III, IV","C, D","OC"
"219","Zemunik Donji","MN","ZD.KV10.sj43A..16","ZD16","OC","R","V, VI","D, E","OC"
"220","Zemunik Donji","MN","ZD.KV10.sj43A..300","","OC","R","V","D","OC"
"221","Zemunik Donji","MN","ZD.KV10.sj43A..301","","OC","R","II","B","OC"
"222","Zemunik Donji","MN","ZD.KV9.sj43A..291","","OA","R","II","B","OC"
"223","Zemunik Donji","MN","ZD.KV9.sj43A..292","","CA","L","III","C","OC"
"224","Zemunik Donji","MN","ZD.KV9.sj43A..293","","CA","R","VII","F","OC"
"225","Zemunik Donji","MN","ZD.KV9.sj43A..294","","OC","L","IV","D","OC"
"226","Zemunik Donji","MN","ZD.KV9.sj43A..295","","OC","R","II","B","OC"
"227","Zemunik Donji","MN","ZD.KV9.sj43A..296","","OA","R","IV","D","OC"
"228","Zemunik Donji","MN","ZD.KV9.sj43A..297","ZD297","OC","L","V, VI","D, E","OC"
"229","Zemunik Donji","MN","ZD.KV9.sj43A..298","ZD298","CA","L","VI","E","OC"
"230","Zemunik Donji","MN","ZD.KV9.sj43A..48","ZD11","OA","L","VII","F","OC"
"231","Zemunik Donji","MN","ZD.KV9.sj43A..49","","OA","L","IX","G","OC"
"232","Zemunik Donji","MN","ZD.KV9.sj43A..50","","CA","L","V","D","OC"
"233","Zemunik Donji","MN","ZD.KV9.sj43A..51","","OA","L","VII","F","OC"
"234","Zemunik Donji","MN","ZD.KV9/8.sj47..302","","OC","R","II, III, IV","B, C, D","OC"
"235","Zemunik Donji","MN","ZD.KV9/8.sj47..303","","OA","R","VII","F","OC"
"236","Zemunik Donji","MN","ZD.KV9/8.sj47..304","","CA","L","III","C","OC"
"237","Zemunik Donji","MN","ZD.KV9/8.sj47..305","","OA","L","IV","D","OC"
"238","Zemunik Donji","MN","ZD.KV9/8.sj47..306","","OC","R","V","D","OC"
"239","Zemunik Donji","MN","ZD.KV9/8.sj47..307","","OA","L","III","C","OC"
"240","Zemunik Donji","MN","ZD.KV9/8.sj47..308","","CA","R","V","D","OC"
"241","Zemunik Donji","MN","ZD.KV9/8.sj47..309","","OC","L","II, III, IV","B, C, D","OC"
"242","Zemunik Donji","MN","ZD.KV9/8.sj47..310","","CA","L","IV","D","OC"
"243","Zemunik Donji","MN","ZD.KV9/8.sj47..311","","OA","L","VII","F","OC"
"244","Zemunik Donji","MN","ZD.KV9/8.sj47..312","","OC","R","IV","D","OC"
"245","Zemunik Donji","MN","ZD.KV9/8.sj47..313","","OC","R","V","D","OC"
"246","Zemunik Donji","MN","ZD.KV9/8.sj47..314","","OA","R","II","B","OC"
"247","Zemunik Donji","MN","ZD.KV9/8.sj47..315","","CA","L","II","B","OC"
"248","Zemunik Donji","MN","ZD.KV9/8.sj47..64","ZD13","OA","R","V","D","OC"
"249","Zemunik Donji","MN","ZD.KV9/8.sj47..65","ZD14","OA","R","VII","F","OC"
