"Taxon","strategy","Lambda","low.lambda","up.lambda","Proportion.Female","Proportion.Male","low.sex.F","up.sex.F"
"1","goat","Energy",1.01619,1.0099930486085,1.02218449189858,0.628552176077555,0.371447823922445,0.620555532205377,0.636332550200752
"2","goat","Security",1.000825,0.994611651329602,1.00664398379717,0.63355241127051,0.36644758872949,0.625058173195776,0.641757595754699
"3","goat","Meat",1.005755,0.99928063512677,1.01182436487323,0.669174804366012,0.330825195633988,0.662120400530825,0.677442990118802
"4","goat","Milk",0.966255,0.960225254050708,0.972013856771814,0.788508325359715,0.211491674640285,0.784237405853207,0.792927088593899
"5","goat","Wool",1.01461,1.0080043998762,1.02061461892394,0.673314904237092,0.326685095762908,0.665819733006556,0.681528439252339
"6","goat","MeatA",0.93724,0.931536143228186,0.943155,0.742445626353287,0.257554373646713,0.736728088853011,0.748209376723343
"7","goat","MeatB",0.959355,0.953141397278894,0.965547713543628,0.703699238075983,0.296300761924017,0.696780405277985,0.710630741780747
"8","goat","MilkA",0.910715,0.904983302659205,0.916048856771814,0.837938765296931,0.162061234703069,0.834430360768825,0.841516044761602
"9","goat","MilkB",0.96178,0.956410889177478,0.967239110822522,0.721419476786328,0.278580523213672,0.715822143747236,0.727014454149695
"10","goat","Fleece",0.950195,0.944960127025354,0.955738602721106,0.762551243259591,0.237448756740409,0.757930462941392,0.76719182745849
"11","goat","Benkovac-Barice MN",1.02377,1.0177116513296,1.02987233246757,0.588303596279818,0.411696403720182,0.579509460443888,0.59755865354361
"12","goat","Islam Grčki MN",0.99923,0.993707540507081,1.00437398379717,0.678495805182688,0.321504194817312,0.671121908842624,0.685639021509619
"13","goat","Smilčić EN",0.98432,0.978330381076062,0.990399110822522,0.649503675530965,0.350496324469035,0.642919214648129,0.656902066161456
"14","goat","Smilčić MN",1.018705,1.01257063512677,1.02554461892394,0.596536190719544,0.403463809280456,0.58654001011857,0.606129646678691
"15","goat","Zemunik Donji MN",0.99657,0.990801524304248,1.0029883486704,0.621759225682616,0.378240774317384,0.613578699876158,0.629922239982399
"16","goat","Baseline",1.07182,1.06556076215212,1.07788474594929,0.476247141027635,0.523752858972365,0.458846592602058,0.491845967681516
"17","sheep","Energy",1.018045,1.01271025405071,1.02344474594929,0.636693894598254,0.363306105401746,0.629990335170323,0.643662714307446
"18","sheep","Security",1.005475,1.00104512702535,1.0101,0.645218223455061,0.354781776544939,0.639228573924611,0.651285247859341
"19","sheep","Meat",1.005125,1.00052215943102,1.01037360272111,0.690345555573866,0.309654444426134,0.684911970714643,0.695449109628007
"20","sheep","Milk",0.96605,0.961720127025354,0.970244745949292,0.813361887071199,0.186638112928801,0.810706097295617,0.816111368995595
"21","sheep","Wool",1.01435,1.0099366513296,1.01906872974646,0.691905005884199,0.308094994115801,0.686925527317533,0.696696836165484
"22","sheep","MeatA",0.940175,0.935984699938099,0.944499872974646,0.769235663571939,0.230764336428061,0.765710147082168,0.77264450196071
"23","sheep","MeatB",0.957355,0.952535508101416,0.96215872974646,0.72064856964979,0.27935143035021,0.716154368329577,0.725402034218664
"24","sheep","MilkA",0.91749,0.913571016202832,0.921414745949292,0.859169324382029,0.140830675617971,0.857221241746308,0.861338058652035
"25","sheep","MilkB",0.963725,0.959113683735267,0.968409491898584,0.74592698381126,0.25407301618874,0.742058254313502,0.749546874957342
"26","sheep","Fleece",0.9495,0.944995254050708,0.954257205442211,0.785151302604507,0.214848697395493,0.781832562227222,0.788401787365137
"27","sheep","Benkovac-Barice MN",1.027435,1.02258076215212,1.03225796759434,0.608079417268031,0.391920582731969,0.600669909903324,0.615815061941609
"28","sheep","Islam Grčki MN",1.001525,0.996625762152124,1.00618309461969,0.690436194462134,0.309563805537866,0.684793214380259,0.695757463765478
"29","sheep","Smilčić EN",0.98463,0.980325127025354,0.989214745949292,0.667353308723402,0.332646691276598,0.661492471572022,0.673305235590855
"30","sheep","Smilčić MN",1.02355,1.01887766753243,1.02794885677181,0.607385824879352,0.392614175120648,0.599991737918853,0.614221834061728
"31","sheep","Zemunik Donji MN",1.00033,0.995735254050708,1.00477860272111,0.638273579284798,0.361726420715202,0.632362799842711,0.643695332241099
"32","sheep","Baseline",1.06948,1.06462025405071,1.07408860272111,0.477645531363202,0.522354468636798,0.463994710426168,0.490128907696867
